mean_logprob,std_logprob,mean_rank,mean_log_rank,mean_entropy,std_entropy,num_tokens,category,alignment
-2.751877784729004,2.7807066440582275,79.15333557128906,1.8370749950408936,2.921577215194702,1.9014267921447754,300,human,human
-2.9943532943725586,2.959980010986328,69.62679290771484,1.9816704988479614,3.0525152683258057,1.8397058248519897,209,human,human
-3.086392879486084,3.0755622386932373,95.4455795288086,2.0096428394317627,3.021605968475342,1.7009265422821045,294,human,human
-3.1377291679382324,3.0270731449127197,131.65866088867188,2.024156332015991,2.949939489364624,1.9032135009765625,375,human,human
-3.4490978717803955,3.164855480194092,188.7138214111328,2.2133562564849854,3.5475144386291504,1.6219781637191772,311,human,human
-3.3099992275238037,3.112001419067383,125.93357849121094,2.111248016357422,3.156977653503418,1.8300565481185913,271,human,human
-3.3257334232330322,3.023145914077759,92.50675964355469,2.1614718437194824,3.25052547454834,1.7056851387023926,296,human,human
-3.248168468475342,3.1861188411712646,249.73333740234375,2.13356614112854,3.0998687744140625,1.8084299564361572,225,human,human
-3.398299217224121,3.162696599960327,192.03787231445312,2.201925277709961,3.336571455001831,1.9165548086166382,264,human,human
-3.0774528980255127,2.6845126152038574,89.65406799316406,1.9441978931427002,3.1567206382751465,1.7155143022537231,344,human,human
-3.2075932025909424,2.9784669876098633,187.9304962158203,2.068892240524292,3.327216148376465,1.9315179586410522,259,human,human
-2.8988142013549805,2.8552722930908203,65.36821746826172,1.8979411125183105,3.102130889892578,1.9214212894439697,258,human,human
-3.3009164333343506,3.208080291748047,320.26220703125,2.1409752368927,3.409146547317505,1.8291422128677368,225,human,human
-3.312314510345459,3.181633949279785,224.85488891601562,2.2004189491271973,3.2126803398132324,1.8813104629516602,317,human,human
-2.9009456634521484,2.789806842803955,105.11904907226562,1.9194235801696777,3.0353446006774902,1.8162429332733154,252,human,human
-2.9253990650177,3.0504977703094482,132.57940673828125,1.9386887550354004,2.831080198287964,1.8816617727279663,233,human,human
-3.0644044876098633,3.1401591300964355,132.61660766601562,2.033090353012085,2.8888254165649414,1.8936574459075928,313,human,human
-3.6885621547698975,2.993229627609253,147.8160858154297,2.3310022354125977,3.694443702697754,1.7556558847427368,261,human,human
-3.486027479171753,3.254667043685913,205.76422119140625,2.3495969772338867,3.1776554584503174,1.9722241163253784,246,human,human
-3.6542563438415527,3.412337064743042,204.06007385253906,2.4140465259552,3.3427469730377197,1.9411617517471313,283,human,human
-3.4238274097442627,3.06058669090271,115.26732635498047,2.2381858825683594,3.284832239151001,1.9199377298355103,202,human,human
-3.4901435375213623,3.2284843921661377,188.86776733398438,2.278258800506592,3.4396770000457764,1.930750846862793,363,human,human
